department,Culture & Wellbeing,My role at Access Fintech,Work/Life Balance,Working for AccessFintech,Working with my Line Manager,Working with my Team,Working with the Executive Teams,Working with the Leadership Teams (Heads of Department)
A,-0.456,-0.098,-0.282,-0.244,-0.118,-0.377,-0.14,-0.273
B,-0.022,-0.198,0.515,-0.032,-0.042,0.313,-0.1,-0.28
C,-0.098,-0.613,0.007,-0.221,-0.486,-0.167,-0.15,-0.2
D,0.162,-0.14,-0.249,-0.189,0.304,0.017,-0.427,0.587
E,-0.554,-0.205,-0.319,0.164,-0.746,-0.167,-0.283,-0.017
F,-0.4,-0.293,-0.346,-0.722,-0.096,-0.967,-0.123,-0.32
G,-0.354,-0.24,-0.669,-0.45,-0.538,-0.35,-0.267,-0.85
H,0.554,0.552,0.533,0.608,0.67,0.48,0.387,0.953
I,-0.348,0.072,-0.136,-0.001,0.27,0.373,-0.067,-0.37
J,-1.058,-0.932,-1.274,-0.897,-0.802,-1.117,-0.74,-0.82
K,-0.178,-0.707,-0.676,-0.667,-0.482,-0.313,-0.57,-0.587
L,-0.836,-0.31,-0.154,-0.902,-0.366,-0.297,-0.613,-0.833
M,-0.388,-0.078,-0.38,-0.311,-0.526,0.05,-0.557,0.087
N,-0.14,0.007,-0.39,0.075,0.218,-0.237,0.503,0.47
O,-0.52,-0.468,-0.514,-0.485,-0.152,-0.043,-0.103,-0.327
Other (24),-0.21,-0.29,-0.591,-0.379,-0.54,-0.363,-0.3,-1.093
P,0.36,-0.31,-0.4,0.069,0.272,-0.203,-0.32,-0.077
Q,0.014,0.215,-0.04,-0.098,-0.212,-0.343,-0.09,-0.523
R,0.056,-0.685,-0.188,-0.05,-0.62,-0.207,-0.433,-0.273
