,max_abs_error,mean_abs_error
I feel comfortable sharing my ideas at work with peers and management.,0.03,0.0121
I would recommend AFT to my friends.,0.0298,0.0107
I feel the HR team at Access Fintech care about my wellbeing.,0.0296,0.008
My manager keeps me informed about what is happening within my team and the wider business.,0.0291,0.0107
"On a scale of one to ten, how well are you able to balance your work and personal commitments?",0.0291,0.0097
My work is appreciated by my Head of Department.,0.0288,0.0106
I am optimistic about Access Fintech's long-term success.,0.0287,0.0075
The executive team works as a cohesive team.,0.0287,0.0097
The day-to-day decisions here demonstrate that we continuously learn from experiences and aim for improvement.,0.0287,0.0085
The executive team contributes to a positive work culture.,0.0287,0.0089
My work is appreciated by my direct manager.,0.0285,0.0106
"The HR team are attentive, involved and helpful, I feel like I have someone to turn to.",0.0283,0.0137
I trust the Executive team to lead the business to success.,0.028,0.0121
My manager helps me identify the best resources to develop my skills and knowledge as a professional,0.0279,0.0111
I feel the amount of work assigned to me is manageable,0.0273,0.007
AFT places great importance on the growth and development of its people.,0.0271,0.0121
"As an employee, I get sufficient and relevant information about company updates/org changes from the executive teams.",0.0268,0.0074
I am recognized for my accomplishments and contributions to the company.,0.0261,0.0111
My job gives me professional challenges and that is exciting to me.,0.0255,0.0133
The Leadership team openly and transparently updates employees on decisions and changes in the company.,0.0249,0.0116
Me and my team members contribute to the success of our team and the success of the company.,0.0249,0.0104
My manager is helpful and empathetic and I feel comfortable approaching them on personal matters.,0.0245,0.0098
Collaboration between departments/teams is done well at Access Fintech.,0.0245,0.0107
I can see myself working for Access Fintech for the next 2 years.,0.0243,0.009
My team cooperates and helps each other.,0.0242,0.0097
How happy are you at AccessFintech on a scale of 1 to 10?,0.0238,0.0124
I receive regular constructive feedback from my manager.,0.0234,0.0117
I think I have been offered the support and flexibility necessary to thrive at work.,0.0232,0.0108
The leadership team values all employees and treats them equally with fairness and respect.,0.0227,0.0084
I feel Accessfintech's culture is collaborative and empowering.,0.0222,0.0073
I think my work environment reflects the company culture.,0.0217,0.0089
I believe I have an equal opportunity within the team to have a stable/growing career path in the organization.,0.0209,0.0079
I understand how my work contributes to the company's success.,0.0198,0.0062
I feel AFT is supportive of a healthy work-life balance.,0.019,0.0077
