department,category,item,harmonised,company_score,gap,direction
H,My role at Access Fintech,AFT places great importance on the growth and development of its people.,4.79,3.77,1.02,above
H,Working with the Leadership Teams (Heads of Department),The Leadership team openly and transparently updates employees on decisions and changes in the company.,4.16,3.14,1.02,above
H,Working for AccessFintech,How happy are you at AccessFintech on a scale of 1 to 10?,4.822222222222223,3.8444444444444446,0.978,above
H,Working with the Leadership Teams (Heads of Department),The leadership team values all employees and treats them equally with fairness and respect.,4.32,3.38,0.94,above
H,Working with the Leadership Teams (Heads of Department),My work is appreciated by my Head of Department.,4.17,3.27,0.9,above
N,Working with the Leadership Teams (Heads of Department),The leadership team values all employees and treats them equally with fairness and respect.,4.22,3.38,0.84,above
H,Working with my Line Manager,My work is appreciated by my direct manager.,4.7700000000000005,3.95,0.82,above
H,Working with my Line Manager,My manager keeps me informed about what is happening within my team and the wider business.,4.73,3.93,0.8,above
J,Work/Life Balance,I feel AFT is supportive of a healthy work-life balance.,1.7000000000000002,3.58,-1.88,below
J,Working with my Team,Collaboration between departments/teams is done well at Access Fintech.,2.6,4.2,-1.6,below
J,Working for AccessFintech,How happy are you at AccessFintech on a scale of 1 to 10?,2.3511111111111114,3.8444444444444446,-1.493,below
J,Working with the Executive Teams,The executive team works as a cohesive team.,1.8099999999999998,3.09,-1.28,below
J,Culture & Wellbeing,I feel Accessfintech's culture is collaborative and empowering.,2.6799999999999997,3.94,-1.26,below
L,Culture & Wellbeing,I feel comfortable sharing my ideas at work with peers and management.,2.35,3.6,-1.25,below
J,My role at Access Fintech,I understand how my work contributes to the company's success.,2.58,3.8,-1.22,below
J,My role at Access Fintech,I think I have been offered the support and flexibility necessary to thrive at work.,2.71,3.92,-1.21,below
