department,AFT places great importance on the growth and development of its people.,"As an employee, I get sufficient and relevant information about company updates/org changes from the executive teams.",Collaboration between departments/teams is done well at Access Fintech.,How happy are you at AccessFintech on a scale of 1 to 10?,I am optimistic about Access Fintech's long-term success.,I am recognized for my accomplishments and contributions to the company.,I believe I have an equal opportunity within the team to have a stable/growing career path in the organization.,I can see myself working for Access Fintech for the next 2 years.,I feel AFT is supportive of a healthy work-life balance.,I feel Accessfintech's culture is collaborative and empowering.,I feel comfortable sharing my ideas at work with peers and management.,I feel the HR team at Access Fintech care about my wellbeing.,I feel the amount of work assigned to me is manageable,I receive regular constructive feedback from my manager.,I think I have been offered the support and flexibility necessary to thrive at work.,I think my work environment reflects the company culture.,I trust the Executive team to lead the business to success.,I understand how my work contributes to the company's success.,I would recommend AFT to my friends.,Me and my team members contribute to the success of our team and the success of the company.,My job gives me professional challenges and that is exciting to me.,My manager helps me identify the best resources to develop my skills and knowledge as a professional,My manager is helpful and empathetic and I feel comfortable approaching them on personal matters.,My manager keeps me informed about what is happening within my team and the wider business.,My team cooperates and helps each other.,My work is appreciated by my Head of Department.,My work is appreciated by my direct manager.,"On a scale of one to ten, how well are you able to balance your work and personal commitments?","The HR team are attentive, involved and helpful, I feel like I have someone to turn to.",The Leadership team openly and transparently updates employees on decisions and changes in the company.,The day-to-day decisions here demonstrate that we continuously learn from experiences and aim for improvement.,The executive team contributes to a positive work culture.,The executive team works as a cohesive team.,The leadership team values all employees and treats them equally with fairness and respect.
A,3.64,3.3100000000000005,3.52,3.7688888888888887,3.91,3.76,3.83,3.91,3.1100000000000003,3.4699999999999998,3.17,3.6300000000000003,3.12,3.84,3.6399999999999997,3.5,2.3099999999999996,3.8299999999999996,3.4699999999999998,4.01,3.65,3.69,3.63,3.77,3.9399999999999995,2.56,3.9000000000000004,3.844444444444444,3.0,3.21,4.1499999999999995,3.3200000000000003,3.17,3.1999999999999997
B,3.71,4.11,4.29,4.022222222222222,4.0,3.6599999999999997,3.78,4.0200000000000005,4.1,3.93,3.65,4.19,3.85,3.6599999999999997,3.81,3.41,3.2399999999999998,3.07,3.41,4.5,3.72,3.73,3.6399999999999997,4.11,4.75,3.07,4.07,4.515555555555555,3.76,2.73,4.2299999999999995,2.73,2.9499999999999997,3.15
C,3.08,3.5600000000000005,4.22,3.8266666666666667,4.04,3.29,2.9299999999999997,3.33,3.6,3.87,3.54,3.81,3.4000000000000004,3.3,3.44,3.92,3.33,3.3499999999999996,3.33,3.9899999999999998,3.17,3.14,3.4299999999999997,3.66,3.8899999999999997,3.46,3.46,3.942222222222222,3.42,2.98,4.569999999999999,2.72,2.7199999999999998,2.75
Company,3.77,4.07,4.2,3.8444444444444446,4.11,4.05,3.65,3.99,3.58,3.94,3.6,3.99,3.43,3.78,3.92,3.81,3.05,3.8,3.71,4.18,3.75,4.0,3.76,3.93,4.22,3.27,3.95,3.911111111111111,3.71,3.14,4.26,3.08,3.09,3.38
D,3.79,3.8400000000000003,4.07,3.497777777777778,4.11,3.9899999999999998,3.29,3.7600000000000002,3.64,4.3,3.72,4.13,3.21,3.9299999999999997,4.56,4.12,2.6799999999999997,3.05,3.32,4.279999999999999,3.42,4.79,4.0,3.87,4.3,3.94,4.3500000000000005,3.324444444444444,3.59,3.6,4.319999999999999,2.73,2.53,4.01
E,3.46,4.09,4.4,3.951111111111111,4.42,3.9,3.3899999999999997,4.57,2.8200000000000003,3.52,2.87,3.66,3.1,2.92,3.36,2.99,2.82,3.75,3.62,4.02,3.85,3.35,2.9499999999999997,2.96,3.6799999999999997,3.25,3.5100000000000002,4.044444444444444,3.24,3.42,4.319999999999999,2.93,2.62,3.07
F,3.38,3.3600000000000003,3.14,2.7600000000000002,3.6100000000000003,3.8899999999999997,3.4699999999999998,3.37,3.02,3.59,3.0300000000000002,3.47,2.98,3.57,3.92,3.5,3.09,3.1399999999999997,2.9699999999999998,3.0699999999999994,3.38,3.96,3.73,3.8600000000000003,3.4899999999999998,2.77,3.8200000000000003,3.8844444444444446,3.46,2.9000000000000004,3.5799999999999996,2.91,2.8499999999999996,3.1599999999999997
G,3.6,3.6500000000000004,3.29,3.924444444444444,3.6500000000000004,3.73,3.29,3.5200000000000005,2.55,3.51,3.05,3.5700000000000003,2.6500000000000004,3.3,3.42,3.95,2.61,3.6799999999999997,3.03,3.78,3.78,3.81,3.07,3.06,4.4799999999999995,2.66,3.49,3.715555555555555,3.2,2.31,3.51,2.7600000000000002,3.05,2.2699999999999996
H,4.79,4.74,4.92,4.822222222222223,4.49,4.75,4.37,4.57,4.29,4.53,4.3,4.63,3.9800000000000004,4.1499999999999995,3.9899999999999998,4.59,3.3699999999999997,4.27,4.39,4.279999999999999,4.08,4.71,4.41,4.73,4.84,4.17,4.7700000000000005,4.248888888888889,3.77,4.16,4.62,3.58,3.4299999999999997,4.32
I,3.75,3.68,4.8100000000000005,3.8666666666666667,4.050000000000001,4.39,3.8,4.17,3.5300000000000002,3.89,3.19,3.6300000000000003,3.04,4.069999999999999,3.51,3.35,3.02,3.8699999999999997,4.02,4.26,4.05,4.53,3.94,4.25,4.6499999999999995,2.8,3.98,3.942222222222222,3.25,2.89,4.1899999999999995,2.88,3.1199999999999997,2.9899999999999998
J,3.09,3.3100000000000005,2.6,2.3511111111111114,3.3000000000000003,3.25,2.7399999999999998,3.16,1.7000000000000002,2.6799999999999997,2.47,3.0100000000000002,2.31,2.6999999999999997,2.71,3.04,2.65,2.58,2.8,3.6199999999999997,2.98,3.11,3.0799999999999996,3.13,3.03,2.2800000000000002,3.39,3.0888888888888886,2.56,2.2600000000000002,3.6799999999999997,2.54,1.8099999999999998,2.79
K,2.98,3.14,3.89,3.2311111111111113,3.41,3.2699999999999996,3.08,3.0900000000000003,3.21,3.87,3.31,3.66,2.91,3.11,3.05,3.4,2.6199999999999997,2.96,3.36,3.88,3.36,3.07,3.4499999999999997,3.68,3.8899999999999997,2.58,3.7,2.7733333333333334,3.92,2.48,3.75,2.38,2.51,2.9699999999999998
L,3.44,3.3100000000000005,4.32,2.724444444444445,3.33,3.92,3.44,2.9800000000000004,3.69,3.38,2.35,2.99,3.0700000000000003,3.3699999999999997,3.55,3.26,2.28,3.46,2.65,3.6399999999999997,3.27,3.51,3.34,3.6300000000000003,3.75,2.56,3.74,3.6977777777777776,2.89,2.48,3.5799999999999996,2.62,2.48,2.25
M,3.8,3.9200000000000004,3.97,3.8088888888888888,3.58,3.9699999999999998,3.59,3.46,3.2,3.73,2.99,3.6500000000000004,3.18,3.1399999999999997,3.83,3.63,2.5,3.76,3.45,4.62,3.52,2.96,3.5399999999999996,3.56,4.16,3.85,3.5900000000000003,3.4,3.11,2.95,3.9,2.67,2.38,3.25
N,3.78,3.83,4.2,4.013333333333334,4.46,3.88,3.3899999999999997,3.9000000000000004,3.22,3.52,3.44,4.16,3.37,3.78,4.5,3.21,3.67,3.59,3.8,4.359999999999999,3.84,4.58,3.8099999999999996,4.22,3.3299999999999996,3.5,4.12,3.1599999999999997,4.02,3.48,4.43,3.58,3.48,4.22
O,3.02,4.07,4.41,3.066666666666667,3.5700000000000003,3.6399999999999997,3.1399999999999997,3.41,3.1100000000000003,3.55,3.04,3.3000000000000003,3.02,3.2299999999999995,3.6399999999999997,3.24,2.84,3.05,3.51,3.7899999999999996,3.64,3.87,3.75,3.7800000000000002,4.27,2.85,4.03,3.2488888888888887,3.32,2.91,3.4499999999999997,2.99,3.08,3.05
Other (24),3.54,3.7500000000000004,3.66,3.817777777777778,3.7600000000000002,4.01,3.58,3.46,2.98,3.8,3.12,3.87,2.83,2.78,2.98,3.82,2.4099999999999997,3.73,3.25,3.9699999999999998,3.36,3.51,3.2699999999999996,3.74,3.88,2.12,3.42,3.3377777777777777,3.39,2.1500000000000004,3.67,2.91,3.0,2.24
P,3.29,4.1000000000000005,4.180000000000001,3.6266666666666665,4.430000000000001,3.6199999999999997,3.26,3.8200000000000003,2.58,4.62,3.92,4.36,3.3200000000000003,4.32,3.6,3.86,2.8499999999999996,3.4099999999999997,3.7,3.55,3.9,4.18,3.9099999999999997,4.03,4.26,3.19,4.34,3.822222222222222,4.09,3.02,4.72,2.65,2.76,3.35
Q,4.2,3.8100000000000005,4.01,3.635555555555556,4.17,4.21,3.76,4.180000000000001,3.91,3.6799999999999997,3.5100000000000002,3.97,3.43,3.86,4.2299999999999995,4.22,3.32,3.6999999999999997,3.44,3.7899999999999996,4.13,3.09,3.6599999999999997,3.83,3.7699999999999996,2.56,3.9200000000000004,3.462222222222222,3.7399999999999998,2.68,4.16,2.9,2.73,2.98
R,3.2199999999999998,4.23,3.8800000000000003,3.7955555555555556,3.89,3.8899999999999997,3.02,4.0600000000000005,3.3,4.12,3.93,3.95,3.31,3.2299999999999995,2.84,3.72,2.4099999999999997,2.9899999999999998,3.55,3.7199999999999998,2.87,3.64,3.04,3.13,4.38,3.08,3.2800000000000002,3.7466666666666666,3.61,2.8400000000000003,4.16,2.5300000000000002,2.98,3.05
