item,PC1,PC2
AFT places great importance on the growth and development of its people.,0.184,0.257
"As an employee, I get sufficient and relevant information about company updates/org changes from the executive teams.",0.173,-0.054
Collaboration between departments/teams is done well at Access Fintech.,0.172,0.022
How happy are you at AccessFintech on a scale of 1 to 10?,0.192,0.071
I am optimistic about Access Fintech's long-term success.,0.199,-0.071
I am recognized for my accomplishments and contributions to the company.,0.166,0.303
I believe I have an equal opportunity within the team to have a stable/growing career path in the organization.,0.173,0.344
I can see myself working for Access Fintech for the next 2 years.,0.181,0.101
I feel AFT is supportive of a healthy work-life balance.,0.163,0.041
I feel Accessfintech's culture is collaborative and empowering.,0.176,-0.247
I feel comfortable sharing my ideas at work with peers and management.,0.188,-0.281
I feel the HR team at Access Fintech care about my wellbeing.,0.205,-0.195
I feel the amount of work assigned to me is manageable,0.203,-0.091
I receive regular constructive feedback from my manager.,0.187,-0.041
I think I have been offered the support and flexibility necessary to thrive at work.,0.156,0.02
I think my work environment reflects the company culture.,0.136,-0.066
I trust the Executive team to lead the business to success.,0.14,-0.089
I understand how my work contributes to the company's success.,0.144,0.375
I would recommend AFT to my friends.,0.203,-0.006
Me and my team members contribute to the success of our team and the success of the company.,0.121,0.07
My job gives me professional challenges and that is exciting to me.,0.165,0.23
My manager helps me identify the best resources to develop my skills and knowledge as a professional,0.16,-0.02
My manager is helpful and empathetic and I feel comfortable approaching them on personal matters.,0.186,-0.035
My manager keeps me informed about what is happening within my team and the wider business.,0.183,0.013
My team cooperates and helps each other.,0.141,0.004
My work is appreciated by my Head of Department.,0.167,-0.178
My work is appreciated by my direct manager.,0.192,-0.041
"On a scale of one to ten, how well are you able to balance your work and personal commitments?",0.116,0.12
"The HR team are attentive, involved and helpful, I feel like I have someone to turn to.",0.15,-0.31
The Leadership team openly and transparently updates employees on decisions and changes in the company.,0.191,-0.054
The day-to-day decisions here demonstrate that we continuously learn from experiences and aim for improvement.,0.176,-0.21
The executive team contributes to a positive work culture.,0.154,0.246
The executive team works as a cohesive team.,0.162,0.137
The leadership team values all employees and treats them equally with fairness and respect.,0.178,-0.166
