employee_id,department,region,tenure,role_level,work_mode,wave,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,uwes_1,uwes_2,uwes_3,pers_1,pers_2,pers_3,tech_1,tech_2,tech_3,just_1,just_2,psys_1,psys_2,esg_1,esg_2
E0000,A,Europe,>5y,junior,hybrid,1,3.0,4.0,5.0,6.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0
E0001,P,US,>5y,lead,remote,1,3.0,3.0,5.0,6.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,8.0,4.0,3.0,5.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0
E0002,Other (24),Israel,<1y,mid,onsite,1,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,7.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0
E0003,P,Europe,3-5y,junior,hybrid,1,4.0,4.0,5.0,10.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
E0004,Other (24),US,1-3y,lead,hybrid,1,3.0,4.0,3.0,6.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,6.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0
E0005,Other (24),Europe,3-5y,mid,remote,1,3.0,4.0,3.0,7.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,8.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0
E0006,K,India,<1y,mid,hybrid,1,3.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0
E0007,C,Israel,<1y,junior,hybrid,1,3.0,4.0,4.0,9.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,7.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0
E0008,O,Israel,1-3y,lead,hybrid,1,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0
E0009,N,UK,1-3y,mid,hybrid,1,4.0,4.0,5.0,10.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0
